j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.5194049,,2755.0,809.7654,,0,,
0,1,0.5318081,,2769.0,792.46704,,0,,
0,2,0.58222663,,2785.0,775.65454,,0,,
0,3,0.64413154,,2803.0,759.3602,,0,,
0,4,0.7027659,,2824.0,743.61816,,0,,
0,5,0.73673135,,2847.0,728.4641,,0,,
0,6,0.74585176,,2871.0,713.93555,,0,,
0,7,0.76906914,,2895.0,700.0714,,0,,
0,8,0.7705445,,2918.0,686.9119,,0,,
0,9,0.7068029,,2937.0,674.49835,,0,,
0,10,0.6312443,,2954.0,661.8519,,0,,
0,11,0.540999,,2968.0,643.72974,,0,,
0,12,0.5194049,,2978.0,625.0824,,0,,
0,13,0.4877523,,2988.0,606.97614,,0,,
0,14,0.44437113,,2997.0,588.31287,,0,,
0,15,0.37744442,,3005.0,570.2245,,0,,
0,16,0.3097608,,3010.0,552.7676,,0,,
0,17,0.27054977,,3014.0,536.0037,,0,,
0,18,0.2414688,,3018.0,520.0,,0,,
0,19,0.21423258,,3022.0,504.82867,,0,,
0,20,0.17547542,,3026.0,490.56702,,0,,
0,21,0.20164758,,3029.0,477.29654,,0,,
0,22,0.20508796,,3033.0,465.10214,,0,,
0,23,0.23645331,,3038.0,454.07047,,0,,
0,24,0.22981896,,3044.0,442.0,,0,,
0,25,0.247745,,3050.0,430.3766,,0,,
0,26,0.2831928,,3057.0,419.2374,,0,,
0,27,0.31597027,,3065.0,406.9644,,0,,
0,28,0.33514532,,3074.0,396.0202,,0,,
0,29,0.3006849,,3083.0,386.5178,,0,,
0,30,0.22679885,,3090.0,378.5657,,0,,
0,31,0.15727137,,3095.0,367.69553,,0,,
0,32,0.1210316,,3098.0,349.79422,,0,,
0,33,0.2042339,,3097.0,332.96246,,0,,
0,34,0.352094,,3094.0,317.37045,,0,,
0,35,0.57367474,,3084.0,303.2095,,0,,
0,36,0.68449265,,3067.0,290.68884,,0,,
0,37,0.6680991,,3049.0,280.02856,,0,,
0,38,0.5924274,,3037.0,271.44797,,0,,
0,39,0.58862066,,3028.0,265.14902,,0,,
0,40,0.6795523,,3014.0,261.29675,,0,,
0,41,0.7113961,,2995.0,260.0,,0,,
0,42,0.62524605,,2979.0,260.0,,0,,
0,43,0.5357501,,2970.0,260.0,,0,,
0,44,0.474105,,2966.0,260.0,,0,,
0,45,0.43536475,,2964.0,260.0,,0,,
0,46,0.46834257,,2963.0,261.29675,,0,,
0,47,0.5463762,,2968.0,265.14902,,0,,
0,48,0.6594457,,2981.0,271.44797,,0,,
0,49,0.6680991,,2997.0,280.02856,,0,,
0,50,0.660041,,3011.0,290.68884,,0,,
0,51,0.6363087,,3024.0,303.2095,,0,,
0,52,0.63452214,,3035.0,317.37045,,0,,
0,53,0.64286923,,3045.0,332.96246,,0,,
0,54,0.6489698,,3054.0,346.88327,,0,,
0,55,0.66824347,,3065.0,353.63824,,0,,
0,56,0.6414423,,3077.0,362.1381,,0,,
0,57,0.5551212,,3087.0,372.26334,,0,,
0,58,0.41362724,,3093.0,383.8854,,0,,
0,59,0.23056693,,3098.0,396.87277,,0,,
0,60,0.08579151,,3100.0,411.0961,,0,,
0,61,0.10319301,,3100.0,426.4317,,0,,
0,62,0.2849436,,3095.0,442.76404,,0,,
0,63,0.44939184,,3086.0,459.98697,,0,,
0,64,0.60626596,,3072.0,478.00418,,0,,
0,65,0.7199944,,3052.0,496.7293,,0,,
0,66,0.7506659,,3028.0,512.8002,,0,,
0,67,0.7561194,,3005.0,526.4599,,0,,
0,68,0.7561194,,2981.0,541.02496,,0,,
0,69,0.72611964,,2958.0,556.4243,,0,,
0,70,0.6877371,,2937.0,572.5906,,0,,
