j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.7755936,,2474.0,1055.8049,,0,,
0,1,0.73806983,,2479.0,1040.0,,0,,
0,2,0.67339027,,2485.0,1024.6112,,0,,
0,3,0.6020932,,2490.0,1009.65735,,0,,
0,4,0.5164653,,2496.0,995.15826,,0,,
0,5,0.5194049,,2504.0,981.13403,,0,,
0,6,0.4777894,,2516.0,967.6053,,0,,
0,7,0.42060322,,2527.0,954.5931,,0,,
0,8,0.3818421,,2537.0,942.1189,,0,,
0,9,0.31800586,,2547.0,930.2043,,0,,
0,10,0.26554164,,2554.0,918.87103,,0,,
0,11,0.22981896,,2561.0,907.0237,,0,,
0,12,0.13381098,,2566.0,894.64185,,0,,
0,13,0.10319301,,2568.0,879.78406,,0,,
0,14,0.19365829,,2571.0,865.45245,,0,,
0,15,0.3240147,,2578.0,848.89105,,0,,
0,16,0.4132738,,2588.0,832.4061,,0,,
0,17,0.5167114,,2600.0,816.41656,,0,,
0,18,0.6384056,,2615.0,800.9519,,0,,
0,19,0.7895243,,2633.0,779.1329,,0,,
0,20,0.8721879,,2658.0,755.79095,,0,,
0,21,0.8739159,,2686.0,732.6282,,0,,
0,22,0.800552,,2710.0,709.66187,,0,,
0,23,0.723898,,2729.0,686.9119,,0,,
0,24,0.5991539,,2743.0,664.40045,,0,,
0,25,0.5551212,,2748.0,642.15265,,0,,
0,26,0.559396,,2747.0,620.1967,,0,,
0,27,0.6312443,,2742.0,598.56494,,0,,
0,28,0.7597259,,2730.0,577.2937,,0,,
0,29,0.81768143,,2716.0,556.4243,,0,,
0,30,0.8046063,,2699.0,536.0037,,0,,
0,31,0.6956824,,2682.0,516.08527,,0,,
0,32,0.5164653,,2672.0,496.7293,,0,,
0,33,0.3480723,,2668.0,478.00418,,0,,
0,34,0.34076503,,2662.0,459.98697,,0,,
0,35,0.40061113,,2654.0,442.76404,,0,,
0,36,0.44563463,,2645.0,426.4317,,0,,
0,37,0.45186934,,2635.0,411.0961,,0,,
0,38,0.4079177,,2624.0,396.87277,,0,,
0,39,0.27054977,,2616.0,383.8854,,0,,
0,40,0.16175286,,2612.0,367.69553,,0,,
0,41,0.08579151,,2610.0,349.79422,,0,,
0,42,0.07912495,,2610.0,332.96246,,0,,
0,43,0.12252025,,2611.0,317.37045,,0,,
0,44,0.19365829,,2615.0,303.2095,,0,,
0,45,0.2831928,,2621.0,290.68884,,0,,
0,46,0.36717385,,2630.0,280.02856,,0,,
0,47,0.43372583,,2641.0,271.44797,,0,,
0,48,0.4648286,,2654.0,265.14902,,0,,
0,49,0.48336694,,2667.0,261.29675,,0,,
0,50,0.4963274,,2681.0,260.0,,0,,
0,51,0.4918037,,2694.0,260.0,,0,,
0,52,0.48992014,,2707.0,260.0,,0,,
0,53,0.43893728,,2719.0,260.0,,0,,
0,54,0.352094,,2727.0,261.29675,,0,,
0,55,0.26106513,,2732.0,265.14902,,0,,
0,56,0.19365829,,2734.0,271.44797,,0,,
0,57,0.07912495,,2734.0,280.02856,,0,,
0,58,0.038442593,,2733.0,290.68884,,0,,
0,59,0.114876606,,2732.0,303.2095,,0,,
0,60,0.19365829,,2733.0,317.37045,,0,,
0,61,0.26554164,,2734.0,332.96246,,0,,
0,62,0.37091678,,2735.0,349.79422,,0,,
0,63,0.47095004,,2737.0,367.69553,,0,,
0,64,0.50336933,,2740.0,386.5178,,0,,
0,65,0.5147366,,2743.0,406.133,,0,,
0,66,0.5097397,,2749.0,426.4317,,0,,
0,67,0.5232783,,2756.0,447.32092,,0,,
0,68,0.50644463,,2767.0,468.72168,,0,,
0,69,0.5430272,,2780.0,490.56702,,0,,
0,70,0.5551212,,2796.0,512.8002,,0,,
1,0,0.74928427,,2499.0,1035.4401,,0,,
1,1,0.6956824,,2502.0,1019.3194,,0,,
1,2,0.6351731,,2505.0,1003.61346,,0,,
1,3,0.5551212,,2507.0,988.34204,,0,,
1,4,0.46746808,,2509.0,973.5256,,0,,
1,5,0.43893728,,2515.0,959.18506,,0,,
1,6,0.39042893,,2523.0,945.3423,,0,,
1,7,0.35430184,,2532.0,932.0193,,0,,
1,8,0.3118481,,2540.0,919.23883,,0,,
1,9,0.2861035,,2548.0,907.0237,,0,,
1,10,0.26554164,,2555.0,895.3971,,0,,
1,11,0.21178241,,2562.0,884.0,,0,,
1,12,0.13909802,,2566.0,872.0665,,0,,
1,13,0.1210316,,2569.0,858.39386,,0,,
1,14,0.21584865,,2572.0,843.699,,0,,
1,15,0.3612448,,2580.0,829.15137,,0,,
1,16,0.4777894,,2591.0,812.266,,0,,
1,17,0.60626596,,2606.0,795.8718,,0,,
1,18,0.7344852,,2625.0,780.0,,0,,
1,19,0.83070064,,2648.0,764.6829,,0,,
1,20,0.885654,,2674.0,744.5267,,0,,
1,21,0.8653403,,2703.0,721.0021,,0,,
1,22,0.78733224,,2726.0,697.6532,,0,,
1,23,0.6930598,,2745.0,674.49835,,0,,
1,24,0.5768867,,2758.0,651.5581,,0,,
1,25,0.5149842,,2764.0,628.8561,,0,,
1,26,0.5292284,,2763.0,606.419,,0,,
1,27,0.59393585,,2759.0,584.27734,,0,,
1,28,0.710286,,2751.0,562.466,,0,,
1,29,0.80263066,,2739.0,541.02496,,0,,
1,30,0.833677,,2720.0,520.0,,0,,
1,31,0.7536167,,2699.0,499.4437,,0,,
1,32,0.58862066,,2685.0,479.41632,,0,,
1,33,0.44437113,,2676.0,459.98697,,0,,
1,34,0.364649,,2668.0,441.23462,,0,,
1,35,0.3758273,,2661.0,423.24933,,0,,
1,36,0.44563463,,2653.0,406.133,,0,,
1,37,0.4858419,,2642.0,390.0,,0,,
1,38,0.44908065,,2630.0,374.97733,,0,,
1,39,0.32450897,,2620.0,361.20355,,0,,
1,40,0.20164758,,2615.0,348.8266,,0,,
1,41,0.111667216,,2612.0,330.92596,,0,,
1,42,0.07912495,,2612.0,313.08145,,0,,
1,43,0.12252025,,2613.0,296.44562,,0,,
1,44,0.18718387,,2616.0,281.233,,0,,
1,45,0.27301264,,2622.0,267.68637,,0,,
1,46,0.33514532,,2630.0,256.0703,,0,,
1,47,0.41678804,,2640.0,246.65765,,0,,
1,48,0.44845718,,2653.0,239.70816,,0,,
1,49,0.43536475,,2665.0,235.44002,,0,,
1,50,0.44814497,,2677.0,234.0,,0,,
1,51,0.4636476,,2689.0,234.0,,0,,
1,52,0.46275866,,2701.0,234.0,,0,,
1,53,0.4260613,,2712.0,234.0,,0,,
1,54,0.352094,,2720.0,235.44002,,0,,
1,55,0.2808377,,2726.0,239.70816,,0,,
1,56,0.20508796,,2729.0,246.65765,,0,,
1,57,0.10835955,,2732.0,256.0703,,0,,
1,58,0.060738232,,2733.0,267.68637,,0,,
1,59,0.1490827,,2735.0,281.233,,0,,
1,60,0.22061701,,2738.0,296.44562,,0,,
1,61,0.2923824,,2741.0,313.08145,,0,,
1,62,0.3991263,,2745.0,330.92596,,0,,
1,63,0.4723884,,2750.0,349.79422,,0,,
1,64,0.4923396,,2754.0,369.52942,,0,,
1,65,0.4963274,,2757.0,390.0,,0,,
1,66,0.48364294,,2762.0,411.0961,,0,,
1,67,0.45676047,,2768.0,432.72623,,0,,
1,68,0.43372586,,2775.0,454.81424,,0,,
1,69,0.44939184,,2786.0,477.29654,,0,,
1,70,0.4376434,,2798.0,496.7293,,0,,
2,0,0.6310794,,2522.0,1015.33246,,0,,
2,1,0.5656915,,2522.0,998.8874,,0,,
2,2,0.5087298,,2523.0,982.85504,,0,,
2,3,0.4493918,,2522.0,967.2559,,0,,
2,4,0.38538775,,2521.0,952.1113,,0,,
2,5,0.331329,,2524.0,937.44336,,0,,
2,6,0.31545874,,2529.0,923.2746,,0,,
2,7,0.28552425,,2536.0,909.6285,,0,,
2,8,0.2849436,,2542.0,896.5289,,0,,
2,9,0.27301264,,2550.0,884.0,,0,,
2,10,0.25583506,,2556.0,872.0665,,0,,
2,11,0.2335314,,2563.0,860.7532,,0,,
2,12,0.1538187,,2568.0,848.89105,,0,,
2,13,0.13779622,,2570.0,837.2646,,0,,
2,14,0.2686848,,2574.0,822.1922,,0,,
2,15,0.4079177,,2583.0,807.67566,,0,,
2,16,0.53297305,,2595.0,792.46704,,0,,
2,17,0.6946364,,2612.0,775.65454,,0,,
2,18,0.80639637,,2636.0,759.3602,,0,,
2,19,0.8561551,,2662.0,743.61816,,0,,
2,20,0.87770915,,2690.0,728.4641,,0,,
2,21,0.8373644,,2718.0,710.138,,0,,
2,22,0.7481095,,2741.0,686.4197,,0,,
2,23,0.6363087,,2758.0,662.87256,,0,,
2,24,0.5208635,,2771.0,639.51544,,0,,
2,25,0.42875096,,2777.0,616.37,,0,,
2,26,0.4493918,,2777.0,593.46106,,0,,
2,27,0.5066995,,2775.0,570.81696,,0,,
2,28,0.6087762,,2770.0,548.4706,,0,,
2,29,0.7334681,,2760.0,526.4599,,0,,
2,30,0.8243976,,2740.0,504.82867,,0,,
2,31,0.79304594,,2716.0,483.62796,,0,,
2,32,0.660041,,2698.0,462.91684,,0,,
2,33,0.5396389,,2686.0,442.76404,,0,,
2,34,0.44437113,,2675.0,423.24933,,0,,
2,35,0.3758273,,2668.0,404.4651,,0,,
2,36,0.43372586,,2661.0,386.5178,,0,,
2,37,0.51867276,,2650.0,369.52942,,0,,
2,38,0.49659133,,2636.0,353.63824,,0,,
2,39,0.3806498,,2625.0,338.99854,,0,,
2,40,0.26554164,,2619.0,325.77905,,0,,
2,41,0.17947067,,2615.0,313.08145,,0,,
2,42,0.1351531,,2614.0,294.15643,,0,,
2,43,0.16394454,,2616.0,276.3838,,0,,
2,44,0.21584867,,2619.0,260.0,,0,,
2,45,0.27665752,,2625.0,245.28351,,0,,
2,46,0.3398369,,2632.0,232.55107,,0,,
2,47,0.39763337,,2642.0,222.1441,,0,,
2,48,0.403557,,2653.0,214.40149,,0,,
2,49,0.3838176,,2664.0,209.6187,,0,,
2,50,0.37091678,,2674.0,208.0,,0,,
2,51,0.40245596,,2684.0,208.0,,0,,
2,52,0.41398022,,2695.0,208.0,,0,,
2,53,0.39949822,,2705.0,208.0,,0,,
2,54,0.33372086,,2714.0,209.6187,,0,,
2,55,0.25583506,,2720.0,214.40149,,0,,
2,56,0.2042339,,2725.0,222.1441,,0,,
2,57,0.17241307,,2730.0,232.55107,,0,,
2,58,0.17033842,,2734.0,245.28351,,0,,
2,59,0.22755818,,2738.0,260.0,,0,,
2,60,0.27845833,,2743.0,276.3838,,0,,
2,61,0.34076503,,2748.0,294.15643,,0,,
2,62,0.40061113,,2755.0,313.08145,,0,,
2,63,0.4079177,,2762.0,332.96246,,0,,
2,64,0.3927246,,2767.0,353.63824,,0,,
2,65,0.40245596,,2770.0,374.97733,,0,,
2,66,0.37744442,,2774.0,396.87277,,0,,
2,67,0.33937162,,2778.0,419.2374,,0,,
2,68,0.327942,,2783.0,441.23462,,0,,
2,69,0.3398369,,2790.0,459.98697,,0,,
2,70,0.36884385,,2800.0,479.41632,,0,,
3,0,0.4376434,,2537.0,995.49786,,0,,
3,1,0.37091678,,2535.0,978.71954,,0,,
3,2,0.30338973,,2534.0,962.35126,,0,,
3,3,0.2901185,,2532.0,946.4143,,0,,
3,4,0.26363423,,2530.0,930.9307,,0,,
3,5,0.24497867,,2531.0,915.9236,,0,,
3,6,0.25317207,,2535.0,901.4167,,0,,
3,7,0.24567366,,2540.0,887.4345,,0,,
3,8,0.26106513,,2546.0,874.00226,,0,,
3,9,0.26171023,,2552.0,861.14575,,0,,
3,10,0.2686848,,2559.0,848.89105,,0,,
3,11,0.22831461,,2565.0,837.2646,,0,,
3,12,0.18998829,,2570.0,825.8838,,0,,
3,13,0.20164758,,2573.0,813.9288,,0,,
3,14,0.32450897,,2578.0,800.9519,,0,,
3,15,0.45584977,,2588.0,786.0433,,0,,
3,16,0.59148043,,2601.0,771.7228,,0,,
3,17,0.7502416,,2620.0,755.79095,,0,,
3,18,0.8393719,,2646.0,739.05884,,0,,
3,19,0.86113095,,2674.0,722.8748,,0,,
3,20,0.86113095,,2702.0,707.2765,,0,,
3,21,0.8183292,,2730.0,692.3034,,0,,
3,22,0.70033985,,2753.0,676.0,,0,,
3,23,0.5768867,,2769.0,652.07666,,0,,
3,24,0.44437113,,2781.0,628.3184,,0,,
3,25,0.3398369,,2787.0,604.74457,,0,,
3,26,0.3332443,,2788.0,581.3777,,0,,
3,27,0.3573619,,2787.0,558.24365,,0,,
3,28,0.44908065,,2784.0,535.37274,,0,,
3,29,0.6265901,,2775.0,512.8002,,0,,
3,30,0.7817662,,2755.0,490.56702,,0,,
3,31,0.7841004,,2731.0,468.72168,,0,,
3,32,0.70991504,,2712.0,447.32092,,0,,
3,33,0.60716504,,2697.0,426.4317,,0,,
3,34,0.51891696,,2685.0,406.133,,0,,
3,35,0.43372586,,2676.0,386.5178,,0,,
3,36,0.44437113,,2669.0,367.69553,,0,,
3,37,0.5308727,,2658.0,349.79422,,0,,
3,38,0.5308727,,2643.0,332.96246,,0,,
3,39,0.42334557,,2632.0,317.37045,,0,,
3,40,0.327942,,2625.0,303.2095,,0,,
3,41,0.25250116,,2620.0,290.68884,,0,,
3,42,0.18998829,,2619.0,276.3838,,0,,
3,43,0.18718387,,2620.0,257.38687,,0,,
3,44,0.24004816,,2623.0,239.70816,,0,,
3,45,0.32988298,,2629.0,223.66046,,0,,
3,46,0.39042893,,2637.0,209.6187,,0,,
3,47,0.39949822,,2646.0,198.0101,,0,,
3,48,0.37744442,,2656.0,189.28285,,0,,
3,49,0.34076503,,2665.0,183.84776,,0,,
3,50,0.31800586,,2674.0,182.0,,0,,
3,51,0.3337209,,2682.0,182.0,,0,,
3,52,0.3573619,,2692.0,182.0,,0,,
3,53,0.34490073,,2701.0,182.0,,0,,
3,54,0.32842866,,2710.0,183.84776,,0,,
3,55,0.2831928,,2718.0,189.28285,,0,,
3,56,0.247745,,2725.0,198.0101,,0,,
3,57,0.25250116,,2731.0,209.6187,,0,,
3,58,0.2808377,,2737.0,223.66046,,0,,
3,59,0.31545874,,2743.0,239.70816,,0,,
3,60,0.327942,,2749.0,257.38687,,0,,
3,61,0.352094,,2755.0,276.3838,,0,,
3,62,0.352094,,2762.0,296.44562,,0,,
3,63,0.31545874,,2769.0,317.37045,,0,,
3,64,0.26680422,,2774.0,338.99854,,0,,
3,65,0.24567366,,2778.0,361.20355,,0,,
3,66,0.22061701,,2781.0,383.8854,,0,,
3,67,0.20164758,,2784.0,404.4651,,0,,
3,68,0.20508796,,2788.0,423.24933,,0,,
3,69,0.23861772,,2793.0,442.76404,,0,,
3,70,0.26363423,,2800.0,462.91684,,0,,
4,0,0.3006849,,2546.0,975.9529,,0,,
4,1,0.23056693,,2542.0,958.83264,,0,,
4,2,0.16394454,,2539.0,942.1189,,0,,
4,3,0.1538187,,2537.0,925.8337,,0,,
4,4,0.1538187,,2535.0,910.0,,0,,
4,5,0.17033842,,2536.0,894.64185,,0,,
4,6,0.18812376,,2539.0,879.78406,,0,,
4,7,0.22061701,,2543.0,865.45245,,0,,
4,8,0.25250116,,2549.0,851.67365,,0,,
4,9,0.27665752,,2555.0,838.4748,,0,,
4,10,0.2686848,,2562.0,825.8838,,0,,
4,11,0.26106513,,2568.0,813.9288,,0,,
4,12,0.22755818,,2574.0,802.6381,,0,,
4,13,0.24004816,,2577.0,790.75916,,0,,
4,14,0.3625265,,2583.0,779.1329,,0,,
4,15,0.5097397,,2594.0,764.6829,,0,,
4,16,0.653421,,2609.0,749.95465,,0,,
4,17,0.7853982,,2630.0,735.8505,,0,,
4,18,0.8503643,,2657.0,719.12445,,0,,
