j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.3789935,,871.0,8637.129,,0,,
0,1,0.5726743,,941.0,8489.994,,0,,
0,2,0.5331755,,975.0,8345.059,,0,,
0,3,0.4559292,,947.0,8202.438,,0,,
0,4,0.45732307,,946.0,8062.258,,0,,
0,5,0.47297874,,1022.0,7919.596,,0,,
0,6,0.5367349,,1005.0,7779.46,,0,,
0,7,0.3361971,,910.0,7641.9893,,0,,
0,8,0.042985134,,889.0,7507.3296,,0,,
0,9,0.055001263,,900.0,7375.6357,,0,,
0,10,0.040980093,,906.0,7247.0684,,0,,
0,11,0.04269406,,913.0,7121.7974,,0,,
0,12,0.042767014,,922.0,7000.0,,0,,
0,13,0.0360399,,930.0,6881.8604,,0,,
0,14,0.04945711,,934.0,6767.57,,0,,
0,15,0.07406836,,944.0,6657.3267,,0,,
0,16,0.07551983,,959.0,6551.336,,0,,
0,17,0.07830135,,974.0,6403.124,,0,,
0,18,0.080448575,,988.0,6248.1997,,0,,
0,19,0.052451845,,1002.0,6095.9004,,0,,
0,20,0.089895844,,1009.0,5946.4277,,0,,
0,21,0.27767974,,990.0,5800.0,,0,,
0,22,0.31357878,,979.0,5656.8545,,0,,
0,23,0.24480213,,1011.0,5517.2456,,0,,
0,24,0.19135936,,1018.0,5381.4497,,0,,
0,25,0.17701314,,988.0,5249.7617,,0,,
0,26,0.07485985,,986.0,5110.773,,0,,
0,27,0.067902796,,988.0,4939.6357,,0,,
0,28,0.054774437,,994.0,4770.744,,0,,
0,29,0.039031416,,1003.0,4604.3457,,0,,
0,30,0.02691932,,1006.0,4440.7207,,0,,
0,31,0.014998875,,1007.0,4280.187,,0,,
0,32,0.056121517,,1006.0,4123.1055,,0,,
0,33,0.11714718,,1026.0,3969.8867,,0,,
0,34,0.124354996,,1052.0,3820.9946,,0,,
0,35,0.24723712,,1074.0,3676.9553,,0,,
0,36,0.4741909,,1149.0,3538.361,,0,,
0,37,0.56361777,,1242.0,3405.8772,,0,,
0,38,0.54012835,,1277.0,3280.244,,0,,
0,39,0.50293046,,1342.0,3162.2776,,0,,
0,40,0.17958282,,1373.0,3052.8674,,0,,
0,41,0.5773503,,1275.0,2952.9646,,0,,
0,42,0.51896095,,1206.0,2863.5642,,0,,
0,43,0.45648345,,1185.0,2785.6777,,0,,
0,44,0.21834391,,1193.0,2720.2942,,0,,
0,45,0.31548107,,1136.0,2668.3328,,0,,
0,46,0.2642721,,1063.0,2630.5894,,0,,
0,47,0.20074452,,1040.0,2607.681,,0,,
0,48,0.17607945,,1048.0,2600.0,,0,,
0,49,0.17194088,,1061.0,2607.681,,0,,
0,50,0.2276109,,1083.0,2630.5894,,0,,
0,51,0.106599055,,1139.0,2630.5894,,0,,
0,52,0.3502467,,1117.0,2607.681,,0,,
0,53,0.33224595,,1013.0,2600.0,,0,,
0,54,0.14048971,,979.0,2607.681,,0,,
0,55,0.091666274,,973.0,2630.5894,,0,,
0,56,0.097319715,,965.0,2668.3328,,0,,
0,57,0.13182534,,948.0,2720.2942,,0,,
0,58,0.19926377,,928.0,2785.6777,,0,,
0,59,0.2137662,,927.0,2863.5642,,0,,
0,60,0.17347075,,940.0,2952.9646,,0,,
0,61,0.10117308,,944.0,3052.8674,,0,,
0,62,0.09474835,,933.0,3162.2776,,0,,
0,63,0.12582289,,913.0,3280.244,,0,,
0,64,0.21256639,,917.0,3405.8772,,0,,
0,65,0.14776483,,940.0,3538.361,,0,,
0,66,0.058456827,,946.0,3676.9553,,0,,
0,67,0.09006762,,932.0,3820.9946,,0,,
0,68,0.07146718,,919.0,3959.798,,0,,
0,69,0.042985134,,920.0,4103.6567,,0,,
0,70,0.076174006,,929.0,4252.058,,0,,
0,71,0.081823006,,946.0,4386.3423,,0,,
0,72,0.076051794,,955.0,4525.4834,,0,,
0,73,0.11829376,,969.0,4669.047,,0,,
0,74,0.186103,,1001.0,4808.326,,0,,
0,75,0.25175163,,1043.0,4951.7676,,0,,
0,76,0.117278054,,1100.0,5099.0195,,0,,
0,77,0.3193276,,1088.0,5249.7617,,0,,
0,78,0.4306505,,1054.0,5403.7026,,0,,
0,79,0.44752526,,1051.0,5560.5757,,0,,
0,80,0.49915543,,1093.0,5720.1396,,0,,
0,81,0.4170892,,1177.0,5882.1763,,0,,
0,82,0.341216,,1209.0,6046.487,,0,,
0,83,0.56943786,,1101.0,6029.9253,,0,,
0,84,0.5347889,,1033.0,6013.3184,,0,,
0,85,0.5387796,,1013.0,6003.3325,,0,,
0,86,0.43954057,,1010.0,6000.0,,0,,
0,87,0.3779689,,974.0,6000.0,,0,,
0,88,0.3086465,,935.0,6003.3325,,0,,
0,89,0.17409243,,921.0,6013.3184,,0,,
0,90,0.17660637,,928.0,6029.9253,,0,,
0,91,0.17851281,,935.0,6053.098,,0,,
0,92,0.14907321,,933.0,6082.7627,,0,,
0,93,0.18910599,,932.0,6118.823,,0,,
0,94,0.29241052,,964.0,6161.169,,0,,
0,95,0.33886084,,1034.0,6200.0,,0,,
0,96,0.15091287,,1084.0,6200.0,,0,,
0,97,0.3967474,,1006.0,6200.0,,0,,
0,98,0.40757227,,917.0,6203.225,,0,,
0,99,0.30645698,,839.0,6212.8896,,0,,
0,100,0.17680989,,791.0,6177.378,,0,,
0,101,0.09966865,,771.0,6003.3325,,0,,
0,102,0.15053073,,759.0,5830.9517,,0,,
0,103,0.18455717,,762.0,5660.3887,,0,,
0,104,0.30754077,,785.0,5491.812,,0,,
0,105,0.4082304,,877.0,5325.4106,,0,,
0,106,0.3587999,,958.0,5161.395,,0,,
0,107,0.19356857,,1027.0,5000.0,,0,,
0,108,0.3606634,,1020.0,4841.4873,,0,,
0,109,0.51422364,,933.0,4686.15,,0,,
0,110,0.4303527,,851.0,4534.3135,,0,,
0,111,0.15219256,,833.0,4386.3423,,0,,
0,112,0.4768579,,793.0,4242.6406,,0,,
0,113,0.52591014,,693.0,4103.6567,,0,,
0,114,0.3775266,,602.0,3969.8867,,0,,
0,115,0.26569864,,539.0,3841.8745,,0,,
0,116,0.23954403,,495.0,3720.215,,0,,
0,117,0.2693466,,449.0,3605.5513,,0,,
0,118,0.3643515,,408.0,3498.571,,0,,
0,119,0.46257058,,363.0,3400.0,,0,,
0,120,0.3642442,,307.0,3310.589,,0,,
0,121,0.2243186,,264.0,3224.903,,0,,
0,122,0.15179388,,232.0,3130.495,,0,,
0,123,0.13619629,,204.0,3046.3093,,0,,
0,124,0.12249435,,179.0,2973.2139,,0,,
0,125,0.10043912,,159.0,2912.044,,0,,
0,126,0.07889286,,142.0,2863.5642,,0,,
0,127,0.06080394,,129.0,2828.4272,,0,,
0,128,0.04269406,,119.0,2807.1338,,0,,
0,129,0.033990577,,113.0,2800.0,,0,,
0,130,0.03352845,,106.0,2800.0,,0,,
0,131,0.024617173,,101.0,2800.0,,0,,
0,132,0.02691932,,97.0,2800.0,,0,,
0,133,0.033990577,,91.0,2800.0,,0,,
0,134,0.027943576,,84.0,2800.0,,0,,
