j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.514806,,4359.0,593.9697,,0,,
0,1,0.592155,,4367.0,580.0,,0,,
0,2,0.628436,,4377.0,566.3921,,0,,
0,3,0.6603159,,4386.0,553.17267,,0,,
0,4,0.6437676,,4394.0,540.37024,,0,,
0,5,0.628436,,4401.0,528.01514,,0,,
0,6,0.6145944,,4407.0,516.1395,,0,,
0,7,0.57637525,,4412.0,504.7772,,0,,
0,8,0.5434671,,4417.0,493.96356,,0,,
0,9,0.49398395,,4422.0,480.8326,,0,,
0,10,0.4280038,,4425.0,466.9047,,0,,
0,11,0.34909695,,4425.0,453.43137,,0,,
0,12,0.3035672,,4421.0,440.4543,,0,,
0,13,0.3366748,,4414.0,428.01868,,0,,
0,14,0.40187067,,4407.0,416.17303,,0,,
0,15,0.4407516,,4399.0,404.96915,,0,,
0,16,0.5032791,,4391.0,394.46167,,0,,
0,17,0.5557084,,4382.0,384.70767,,0,,
0,18,0.5695348,,4372.0,375.7659,,0,,
0,19,0.61782694,,4362.0,367.15118,,0,,
0,20,0.61102545,,4350.0,357.77087,,0,,
0,21,0.5833862,,4339.0,349.28497,,0,,
0,22,0.60497534,,4329.0,341.76016,,0,,
0,23,0.60497534,,4318.0,335.26108,,0,,
0,24,0.5667523,,4308.0,329.84845,,0,,
0,25,0.5695348,,4300.0,323.1099,,0,,
0,26,0.5585993,,4292.0,316.22775,,0,,
0,27,0.5479789,,4285.0,310.4835,,0,,
0,28,0.49577773,,4278.0,304.63092,,0,,
0,29,0.5097397,,4273.0,297.32138,,0,,
0,30,0.551317,,4268.0,291.2044,,0,,
0,31,0.5684945,,4262.0,286.3564,,0,,
0,32,0.5873167,,4255.0,278.56778,,0,,
0,33,0.6340084,,4247.0,272.02942,,0,,
0,34,0.6435011,,4238.0,266.83328,,0,,
0,35,0.65319705,,4229.0,260.0,,0,,
0,36,0.65319705,,4219.0,252.98221,,0,,
0,37,0.67781997,,4210.0,247.38634,,0,,
0,38,0.6868541,,4200.0,241.66092,,0,,
0,39,0.67781997,,4190.0,234.094,,0,,
0,40,0.67781997,,4181.0,228.03508,,0,,
0,41,0.6435011,,4171.0,223.6068,,0,,
0,42,0.6603159,,4163.0,220.90723,,0,,
0,43,0.6340084,,4154.0,215.40659,,0,,
0,44,0.6157742,,4146.0,208.80614,,0,,
0,45,0.6437676,,4139.0,203.96078,,0,,
0,46,0.63593286,,4131.0,200.99751,,0,,
0,47,0.6508695,,4125.0,200.0,,0,,
0,48,0.64483124,,4119.0,200.0,,0,,
0,49,0.6600648,,4114.0,200.0,,0,,
0,50,0.68318397,,4111.0,200.0,,0,,
0,51,0.7097776,,4108.0,200.0,,0,,
0,52,0.70534647,,4106.0,200.0,,0,,
0,53,0.70470744,,4106.0,200.0,,0,,
0,54,0.70449406,,4107.0,200.0,,0,,
0,55,0.70640814,,4106.0,200.0,,0,,
0,56,0.70788753,,4104.0,200.0,,0,,
0,57,0.7358666,,4102.0,200.0,,0,,
0,58,0.7640492,,4100.0,200.0,,0,,
0,59,0.73963165,,4097.0,200.0,,0,,
0,60,0.7420501,,4094.0,200.0,,0,,
0,61,0.7178167,,4090.0,200.0,,0,,
0,62,0.7250275,,4086.0,200.0,,0,,
0,63,0.7122771,,4080.0,200.0,,0,,
0,64,0.6852545,,4073.0,200.0,,0,,
0,65,0.6740255,,4067.0,200.0,,0,,
0,66,0.6340084,,4062.0,200.0,,0,,
0,67,0.5972269,,4058.0,200.0,,0,,
0,68,0.6083188,,4054.0,200.99751,,0,,
