j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.16499455,,264.0,8856.636,,0,,
0,1,0.12863511,,289.0,8676.405,,0,,
0,2,0.08822938,,303.0,8497.059,,0,,
0,3,0.06181823,,313.0,8318.653,,0,,
0,4,0.044481874,,320.0,8141.253,,0,,
0,5,0.027943576,,324.0,7964.9233,,0,,
0,6,0.020152915,,325.0,7789.737,,0,,
0,7,0.020612607,,325.0,7615.773,,0,,
0,8,0.030506922,,323.0,7443.1177,,0,,
0,9,0.029146504,,318.0,7271.864,,0,,
0,10,0.033621386,,317.0,7102.1123,,0,,
0,11,0.06013538,,309.0,6933.974,,0,,
0,12,0.041584305,,299.0,6767.57,,0,,
0,13,0.010307399,,300.0,6603.03,,0,,
0,14,0.024994794,,298.0,6440.497,,0,,
0,15,0.0,,292.0,6260.99,,0,,
0,16,0.013462099,,298.0,6082.7627,,0,,
0,17,0.015205735,,297.0,5905.929,,0,,
0,18,0.016768938,,297.0,5727.1284,,0,,
0,19,0.026569111,,294.0,5546.17,,0,,
0,20,0.030094897,,290.0,5366.563,,0,,
0,21,0.037148077,,285.0,5188.4487,,0,,
0,22,0.04693624,,279.0,5011.986,,0,,
0,23,0.054030634,,268.0,4837.3545,,0,,
0,24,0.044481874,,261.0,4664.7617,,0,,
0,25,0.05584358,,257.0,4494.441,,0,,
0,26,0.070944086,,251.0,4326.6616,,0,,
0,27,0.06013538,,239.0,4161.7305,,0,,
0,28,0.047398638,,233.0,4000.0,,0,,
0,29,0.04977101,,221.0,3841.8745,,0,,
0,30,0.034985717,,214.0,3687.8179,,0,,
0,31,0.03287052,,207.0,3538.361,,0,,
0,32,0.018198265,,201.0,3394.1125,,0,,
0,33,0.014141193,,200.0,3255.7642,,0,,
0,34,0.030094897,,197.0,3111.2698,,0,,
0,35,0.033990577,,191.0,2973.2139,,0,,
0,36,0.042767014,,184.0,2842.5342,,0,,
0,37,0.050946075,,174.0,2720.2942,,0,,
0,38,0.03161224,,164.0,2607.681,,0,,
0,39,0.025119405,,162.0,2505.993,,0,,
0,40,0.04558911,,163.0,2416.6091,,0,,
0,41,0.080947645,,159.0,2340.94,,0,,
0,42,0.11492531,,136.0,2280.3508,,0,,
0,43,0.09929666,,115.0,2236.0679,,0,,
0,44,0.073732525,,98.0,2209.0723,,0,,
0,45,0.06921638,,88.0,2200.0,,0,,
0,46,0.042767014,,73.0,2200.0,,0,,
0,47,0.0049999584,,71.0,2200.0,,0,,
0,48,0.0,,71.0,2209.0723,,0,,
0,49,0.0,,71.0,2236.0679,,0,,
0,50,0.012499349,,71.0,2154.066,,0,,
0,51,0.032004688,,76.0,2088.0613,,0,,
0,52,0.024994794,,81.0,2039.6078,,0,,
0,53,0.019523144,,82.0,2009.9751,,0,,
0,54,0.020152915,,76.0,2000.0,,0,,
0,55,0.024617173,,81.0,2000.0,,0,,
0,56,0.02691932,,85.0,2000.0,,0,,
0,57,0.031314667,,91.0,2000.0,,0,,
0,58,0.02304478,,96.0,2000.0,,0,,
0,59,0.009999666,,100.0,2000.0,,0,,
0,60,0.0,,100.0,2000.0,,0,,
0,61,0.014141193,,100.0,2009.9751,,0,,
0,62,0.031314667,,104.0,2039.6078,,0,,
0,63,0.040289473,,111.0,2088.0613,,0,,
0,64,0.022496205,,118.0,2154.066,,0,,
0,65,0.0049999584,,120.0,2236.0679,,0,,
0,66,0.0024999948,,120.0,2332.3809,,0,,
0,67,0.009999666,,121.0,2441.311,,0,,
0,68,0.013462099,,124.0,2561.2498,,0,,
0,69,0.0070709498,,126.0,2690.7249,,0,,
0,70,0.0024999948,,126.0,2828.4272,,0,,
0,71,0.014998875,,125.0,2973.2139,,0,,
0,72,0.017498214,,120.0,3111.2698,,0,,
0,73,0.0049999584,,118.0,3255.7642,,0,,
0,74,0.0,,118.0,3394.1125,,0,,
0,75,0.0055901115,,118.0,3538.361,,0,,
0,76,0.0055901115,,119.0,3687.8179,,0,,
0,77,0.016006444,,117.0,3841.8745,,0,,
0,78,0.007499859,,114.0,4000.0,,0,,
0,79,0.0,,114.0,4161.7305,,0,,
0,80,0.0,,114.0,4326.6616,,0,,
0,81,0.0,,114.0,4494.441,,0,,
0,82,0.0,,114.0,4664.7617,,0,,
0,83,0.0,,114.0,4837.3545,,0,,
0,84,0.0,,114.0,5011.986,,0,,
0,85,0.0,,114.0,5188.4487,,0,,
0,86,0.0,,114.0,5366.563,,0,,
0,87,0.0049999584,,114.0,5546.17,,0,,
0,88,0.023580581,,116.0,5727.1284,,0,,
0,89,0.030094897,,119.0,5909.3145,,0,,
0,90,0.04945711,,125.0,6092.6187,,0,,
0,91,0.025489578,,133.0,6276.942,,0,,
0,92,0.03806048,,127.0,6462.1978,,0,,
0,93,0.014141193,,119.0,6648.308,,0,,
0,94,0.018025804,,123.0,6835.203,,0,,
0,95,0.01581007,,123.0,7022.82,,0,,
0,96,0.031314667,,125.0,7211.1025,,0,,
0,97,0.040980093,,134.0,7400.0,,0,,
0,98,0.016768938,,138.0,7589.4663,,0,,
0,99,0.014141193,,137.0,7779.46,,0,,
0,100,0.021210022,,134.0,7969.9434,,0,,
0,101,0.025119405,,131.0,8160.8823,,0,,
0,102,0.019997334,,133.0,8352.245,,0,,
0,103,0.03507478,,131.0,8544.004,,0,,
0,104,0.02135676,,132.0,8736.132,,0,,
0,105,0.02691932,,134.0,8928.605,,0,,
0,106,0.02691932,,136.0,9121.403,,0,,
0,107,0.036384486,,138.0,9314.505,,0,,
0,108,0.041207716,,140.0,9507.892,,0,,
0,109,0.04606511,,142.0,9701.546,,0,,
0,110,0.047398638,,144.0,9895.453,,0,,
0,111,0.050269146,,148.0,10089.599,,0,,
0,112,0.054774437,,153.0,10283.968,,0,,
0,113,0.048245553,,157.0,10478.55,,0,,
0,114,0.060341887,,160.0,10673.331,,0,,
0,115,0.063797966,,167.0,10868.303,,0,,
0,116,0.035340622,,173.0,11063.453,,0,,
0,117,0.02304478,,177.0,11258.774,,0,,
