j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.68021697,,4193.0,1004.85223,,0,,
0,1,0.68021697,,4177.0,986.6306,,0,,
0,2,0.65933806,,4161.0,968.66095,,0,,
0,3,0.62769246,,4147.0,950.9574,,0,,
0,4,0.5769754,,4134.0,933.5352,,0,,
0,5,0.49919719,,4123.0,913.89276,,0,,
0,6,0.45411515,,4115.0,893.17413,,0,,
0,7,0.4169529,,4108.0,872.62366,,0,,
0,8,0.39479113,,4101.0,852.2535,,0,,
0,9,0.3843884,,4096.0,832.0769,,0,,
0,10,0.36676636,,4090.0,812.10834,,0,,
0,11,0.36676636,,4084.0,792.3635,,0,,
0,12,0.3269693,,4078.0,772.8596,,0,,
0,13,0.26072392,,4073.0,753.6153,,0,,
0,14,0.24902466,,4070.0,734.65094,,0,,
0,15,0.24579409,,4066.0,715.98883,,0,,
0,16,0.27255288,,4061.0,697.6532,,0,,
0,17,0.28652093,,4054.0,679.67053,,0,,
0,18,0.2837941,,4047.0,662.06946,,0,,
0,19,0.2482216,,4040.0,644.8814,,0,,
0,20,0.22884347,,4035.0,628.14014,,0,,
0,21,0.26745462,,4029.0,610.94025,,0,,
0,22,0.30540237,,4022.0,592.7563,,0,,
0,23,0.28652093,,4014.0,572.4893,,0,,
0,24,0.17013527,,4008.0,552.5215,,0,,
0,25,0.05885751,,4006.0,532.8865,,0,,
0,26,0.09290131,,4006.0,513.62244,,0,,
0,27,0.16641039,,4004.0,494.77267,,0,,
0,28,0.26745462,,3999.0,476.38638,,0,,
0,29,0.29451627,,3991.0,458.51935,,0,,
0,30,0.22884347,,3985.0,441.23462,,0,,
0,31,0.20934631,,3980.0,424.60333,,0,,
0,32,0.22072601,,3975.0,408.70526,,0,,
0,33,0.20934631,,3970.0,393.62927,,0,,
0,34,0.22527678,,3965.0,379.47333,,0,,
0,35,0.24497867,,3959.0,366.3441,,0,,
0,36,0.28652093,,3953.0,354.35574,,0,,
0,37,0.31280246,,3945.0,341.1041,,0,,
0,38,0.25766528,,3938.0,326.4353,,0,,
0,39,0.18422616,,3933.0,312.92172,,0,,
0,40,0.20237568,,3930.0,300.71915,,0,,
0,41,0.30540237,,3924.0,289.9931,,0,,
0,42,0.39656052,,3915.0,279.88568,,0,,
0,43,0.41899347,,3904.0,268.32816,,0,,
0,44,0.42700982,,3894.0,258.4879,,0,,
0,45,0.4378617,,3883.0,250.56735,,0,,
0,46,0.40524077,,3873.0,244.75293,,0,,
0,47,0.3531297,,3865.0,241.19702,,0,,
0,48,0.33376387,,3860.0,240.0,,0,,
0,49,0.34894955,,3856.0,240.0,,0,,
0,50,0.33598897,,3853.0,240.0,,0,,
0,51,0.3223358,,3851.0,240.0,,0,,
0,52,0.36329788,,3852.0,240.0,,0,,
0,53,0.41032088,,3854.0,240.0,,0,,
0,54,0.45375592,,3858.0,240.0,,0,,
0,55,0.48017502,,3862.0,240.0,,0,,
0,56,0.47588223,,3865.0,241.19702,,0,,
0,57,0.5073637,,3868.0,244.75293,,0,,
0,58,0.53493166,,3871.0,250.56735,,0,,
0,59,0.5324818,,3873.0,258.4879,,0,,
0,60,0.5625668,,3875.0,264.0,,0,,
0,61,0.56477475,,3877.0,264.0,,0,,
0,62,0.6213517,,3880.0,265.08865,,0,,
0,63,0.6451628,,3882.0,268.32816,,0,,
0,64,0.6451628,,3883.0,273.6421,,0,,
0,65,0.672322,,3885.0,280.9128,,0,,
0,66,0.672322,,3887.0,289.9931,,0,,
0,67,0.6738197,,3889.0,300.71915,,0,,
0,68,0.6777742,,3892.0,312.92172,,0,,
0,69,0.67563933,,3896.0,326.4353,,0,,
0,70,0.64809275,,3898.0,341.1041,,0,,
0,71,0.6195424,,3901.0,356.78564,,0,,
0,72,0.58890265,,3902.0,373.3524,,0,,
1,0,0.65951294,,4182.0,989.54535,,0,,
1,1,0.65951294,,4166.0,971.03656,,0,,
1,2,0.62983954,,4150.0,952.77277,,0,,
1,3,0.57438743,,4136.0,934.76843,,0,,
1,4,0.52500486,,4124.0,917.0387,,0,,
1,5,0.45411515,,4114.0,899.5999,,0,,
1,6,0.3912176,,4106.0,881.16284,,0,,
1,7,0.36577997,,4100.0,860.3255,,0,,
1,8,0.3398369,,4093.0,839.65704,,0,,
1,9,0.32925445,,4088.0,819.1703,,0,,
1,10,0.3269693,,4083.0,798.8792,,0,,
1,11,0.31340915,,4077.0,778.7991,,0,,
1,12,0.25919992,,4072.0,758.94666,,0,,
1,13,0.21794379,,4068.0,739.3403,,0,,
1,14,0.18976277,,4065.0,720.0,,0,,
1,15,0.17733257,,4062.0,700.94794,,0,,
1,16,0.20237568,,4058.0,682.2082,,0,,
1,17,0.22617446,,4053.0,663.8072,,0,,
1,18,0.24497867,,4047.0,645.7739,,0,,
1,19,0.22884347,,4041.0,628.14014,,0,,
1,20,0.22617446,,4036.0,610.94025,,0,,
1,21,0.26523367,,4030.0,594.2121,,0,,
1,22,0.30351672,,4023.0,576.99915,,0,,
1,23,0.28652093,,4015.0,559.77136,,0,,
1,24,0.1761551,,4009.0,539.33295,,0,,
1,25,0.06578571,,4007.0,519.1994,,0,,
1,26,0.085687704,,4008.0,499.40765,,0,,
1,27,0.18422616,,4006.0,480.0,,0,,
1,28,0.27612537,,4000.0,461.02493,,0,,
1,29,0.30034086,,3993.0,442.53815,,0,,
1,30,0.25766528,,3986.0,424.60333,,0,,
1,31,0.20237568,,3981.0,407.29352,,0,,
1,32,0.22884347,,3977.0,390.69168,,0,,
1,33,0.25766528,,3971.0,374.892,,0,,
1,34,0.25220695,,3965.0,360.0,,0,,
1,35,0.27110797,,3959.0,346.13293,,0,,
1,36,0.32175055,,3952.0,333.41867,,0,,
1,37,0.3223358,,3943.0,321.99377,,0,,
1,38,0.25220695,,3936.0,307.34998,,0,,
1,39,0.18422616,,3931.0,292.95734,,0,,
1,40,0.19406767,,3928.0,279.88568,,0,,
1,41,0.29451627,,3923.0,268.32816,,0,,
1,42,0.41899347,,3914.0,258.4879,,0,,
1,43,0.45590463,,3902.0,247.09512,,0,,
1,44,0.4598024,,3891.0,236.37259,,0,,
1,45,0.4694903,,3879.0,227.68399,,0,,
