j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.28226528,,647.0,741.2854,,0,,
0,1,0.3188694,,657.0,724.486,,0,,
0,2,0.34748226,,670.0,709.11774,,0,,
0,3,0.35967112,,683.0,695.2755,,0,,
0,4,0.413288,,697.0,683.052,,0,,
0,5,0.46194503,,714.0,672.5355,,0,,
0,6,0.4642642,,730.0,661.8519,,0,,
0,7,0.46441817,,744.0,648.9992,,0,,
0,8,0.47706276,,755.0,637.92163,,0,,
0,9,0.5123569,,763.0,628.71295,,0,,
0,10,0.5200691,,769.0,621.45636,,0,,
0,11,0.5324818,,773.0,616.22076,,0,,
0,12,0.52918255,,775.0,613.0579,,0,,
0,13,0.49072224,,776.0,612.0,,0,,
0,14,0.5392066,,781.0,612.0,,0,,
0,15,0.603689,,792.0,612.0,,0,,
0,16,0.6013092,,804.0,612.0,,0,,
0,17,0.53789794,,810.0,612.0,,0,,
0,18,0.47588223,,813.0,613.0579,,0,,
0,19,0.46116775,,819.0,616.22076,,0,,
0,20,0.48347002,,829.0,621.45636,,0,,
0,21,0.51803255,,842.0,628.71295,,0,,
0,22,0.5919812,,859.0,637.92163,,0,,
0,23,0.6538418,,880.0,648.9992,,0,,
0,24,0.666551,,899.0,651.98773,,0,,
0,25,0.68676686,,918.0,656.93835,,0,,
0,26,0.70780426,,936.0,663.8072,,0,,
0,27,0.71251243,,954.0,640.9618,,0,,
0,28,0.6898446,,973.0,613.0579,,0,,
0,29,0.62688583,,989.0,586.03754,,0,,
0,30,0.5558116,,1001.0,560.02856,,0,,
0,31,0.49642277,,1009.0,535.17847,,0,,
0,32,0.48173672,,1016.0,511.65613,,0,,
0,33,0.48790002,,1020.0,489.65292,,0,,
0,34,0.5285675,,1020.0,469.38257,,0,,
0,35,0.59434193,,1018.0,451.0787,,0,,
0,36,0.6689641,,1012.0,434.98965,,0,,
0,37,0.6909551,,1000.0,419.82852,,0,,
0,38,0.6662479,,983.0,402.49225,,0,,
0,39,0.6162063,,970.0,387.73187,,0,,
0,40,0.5673429,,961.0,375.85104,,0,,
0,41,0.5694878,,957.0,367.1294,,0,,
0,42,0.59434193,,958.0,361.79553,,0,,
0,43,0.6470992,,965.0,360.0,,0,,
0,44,0.68500257,,974.0,360.0,,0,,
0,45,0.705714,,983.0,360.0,,0,,
0,46,0.73733264,,994.0,360.0,,0,,
0,47,0.7568345,,1009.0,360.0,,0,,
0,48,0.742233,,1026.0,360.0,,0,,
0,49,0.71632093,,1044.0,360.0,,0,,
0,50,0.6764441,,1061.0,360.0,,0,,
