j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.8922972,,4406.0,713.5713,,0,,
0,1,0.85805655,,4347.0,678.8225,,0,,
0,2,0.7025021,,4295.0,645.7739,,0,,
0,3,0.4965002,,4270.0,614.69995,,0,,
0,4,0.4227296,,4254.0,585.9147,,0,,
0,5,0.40566772,,4241.0,559.77136,,0,,
0,6,0.33390352,,4228.0,536.6563,,0,,
0,7,0.22994512,,4216.0,516.9758,,0,,
0,8,0.2332144,,4209.0,501.1347,,0,,
0,9,0.26072392,,4202.0,489.50586,,0,,
0,10,0.28787252,,4193.0,482.39404,,0,,
0,11,0.3333445,,4180.0,480.0,,0,,
0,12,0.31820995,,4170.0,480.0,,0,,
0,13,0.25002423,,4170.0,480.0,,0,,
0,14,0.2332144,,4175.0,482.39404,,0,,
0,15,0.24106158,,4184.0,489.50586,,0,,
0,16,0.257087,,4194.0,501.1347,,0,,
0,17,0.22884347,,4205.0,516.9758,,0,,
0,18,0.23770487,,4214.0,536.6563,,0,,
0,19,0.29451627,,4226.0,559.77136,,0,,
0,20,0.3843884,,4242.0,585.9147,,0,,
0,21,0.39656055,,4264.0,614.69995,,0,,
0,22,0.3223358,,4282.0,643.98755,,0,,
0,23,0.31295425,,4296.0,666.83734,,0,,
0,24,0.32408342,,4313.0,687.25543,,0,,
0,25,0.28051388,,4328.0,708.7115,,0,,
0,26,0.27110797,,4340.0,732.6882,,0,,
0,27,0.29598582,,4354.0,758.94666,,0,,
0,28,0.30351672,,4369.0,787.25854,,0,,
0,29,0.2332144,,4384.0,817.4105,,0,,
0,30,0.07568961,,4391.0,849.20667,,0,,
0,31,0.09290131,,4391.0,882.46924,,0,,
0,32,0.20639102,,4387.0,917.0387,,0,,
0,33,0.2940244,,4389.0,950.3515,,0,,
0,34,0.4169529,,4400.0,984.8777,,0,,
0,35,0.4775409,,4417.0,1018.23376,,0,,
0,36,0.45420492,,4438.0,1052.7222,,0,,
0,37,0.4215233,,4456.0,1086.116,,0,,
0,38,0.41376027,,4475.0,1120.5713,,0,,
0,39,0.39312184,,4495.0,1155.993,,0,,
0,40,0.39479113,,4514.0,1192.2953,,0,,
0,41,0.4584796,,4535.0,1229.3999,,0,,
0,42,0.46434122,,4561.0,1267.2363,,0,,
0,43,0.37116045,,4581.0,1305.7412,,0,,
0,44,0.30351672,,4597.0,1344.8568,,0,,
0,45,0.3092845,,4611.0,1384.5317,,0,,
0,46,0.34894955,,4626.0,1424.7189,,0,,
0,47,0.36787167,,4643.0,1451.1567,,0,,
0,48,0.38125834,,4661.0,1478.6805,,0,,
0,49,0.36242366,,4678.0,1507.2306,,0,,
