j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.14841226,,2830.0,1369.4498,,0,,
0,1,0.15927978,,2835.0,1356.6171,,0,,
0,2,0.19646066,,2841.0,1344.7933,,0,,
0,3,0.2160274,,2850.0,1328.2921,,0,,
0,4,0.18154082,,2858.0,1303.4404,,0,,
0,5,0.22441779,,2863.0,1279.2952,,0,,
0,6,0.27054977,,2869.0,1255.8969,,0,,
0,7,0.2740987,,2875.0,1233.2883,,0,,
0,8,0.30712643,,2878.0,1211.5135,,0,,
0,9,0.34966853,,2881.0,1190.6183,,0,,
0,10,0.37013555,,2883.0,1170.6498,,0,,
0,11,0.34787205,,2885.0,1151.6562,,0,,
0,12,0.32723743,,2887.0,1133.6865,,0,,
0,13,0.33132902,,2890.0,1116.79,,0,,
0,14,0.36717385,,2899.0,1101.0164,,0,,
0,15,0.41295928,,2914.0,1086.4143,,0,,
0,16,0.4307884,,2931.0,1073.0317,,0,,
0,17,0.37306488,,2947.0,1060.9147,,0,,
0,18,0.3289683,,2957.0,1046.4799,,0,,
0,19,0.30712643,,2962.0,1029.6295,,0,,
0,20,0.30712643,,2963.0,1014.0,,0,,
0,21,0.34727046,,2968.0,999.64844,,0,,
0,22,0.33132902,,2974.0,986.6306,,0,,
0,23,0.30332994,,2980.0,975.0,,0,,
0,24,0.36417884,,2988.0,964.8067,,0,,
0,25,0.47078976,,3000.0,956.09674,,0,,
0,26,0.53938633,,3018.0,948.91095,,0,,
0,27,0.5668424,,3032.0,943.2842,,0,,
0,28,0.9248177,,3041.0,939.2444,,0,,
0,29,1.1580052,,3119.0,936.81213,,0,,
0,30,1.0791994,,3215.0,936.0,,0,,
0,31,0.8305128,,3264.0,936.0,,0,,
0,32,0.6718595,,3300.0,936.81213,,0,,
0,33,0.33556584,,3326.0,939.2444,,0,,
0,34,0.18154082,,3326.0,943.2842,,0,,
0,35,0.3289683,,3323.0,948.91095,,0,,
0,36,0.38948813,,3341.0,956.09674,,0,,
0,37,0.8344426,,3324.0,964.8067,,0,,
0,38,1.0563562,,3274.0,975.0,,0,,
0,39,1.0693394,,3213.0,965.59467,,0,,
0,40,1.0093759,,3155.0,939.2444,,0,,
0,41,0.9463666,,3108.0,913.7992,,0,,
0,42,0.89122415,,3059.0,889.33685,,0,,
0,43,0.71513057,,3014.0,865.94055,,0,,
0,44,0.51404774,,2992.0,843.699,,0,,
0,45,0.43299437,,2980.0,822.7059,,0,,
0,46,0.36417884,,2972.0,803.05914,,0,,
0,47,0.44852656,,2960.0,784.85986,,0,,
0,48,0.55058753,,2947.0,768.21094,,0,,
0,49,0.6263479,,2937.0,753.2151,,0,,
0,50,0.73205525,,2940.0,739.97296,,0,,
0,51,0.8090898,,2954.0,728.58014,,0,,
0,52,0.7592707,,2957.0,719.12445,,0,,
0,53,0.67662865,,2952.0,703.0825,,0,,
0,54,0.527943,,2939.0,670.9814,,0,,
0,55,0.37469858,,2927.0,639.6476,,0,,
0,56,0.7223146,,2910.0,609.19946,,0,,
0,57,0.990785,,2859.0,579.7767,,0,,
0,58,1.0731674,,2793.0,551.5433,,0,,
0,59,0.93498534,,2720.0,524.69135,,0,,
0,60,0.5482446,,2688.0,499.4437,,0,,
0,61,0.39204642,,2683.0,476.05566,,0,,
0,62,0.48099422,,2672.0,454.81424,,0,,
0,63,0.5344935,,2664.0,436.03326,,0,,
0,64,0.5405967,,2658.0,420.04285,,0,,
0,65,0.55930173,,2648.0,407.17197,,0,,
0,66,0.6986099,,2630.0,397.7235,,0,,
0,67,0.7445045,,2592.0,391.94516,,0,,
0,68,0.613458,,2563.0,390.0,,0,,
0,69,0.76454633,,2546.0,390.0,,0,,
0,70,0.8894336,,2504.0,391.94516,,0,,
0,71,1.0386896,,2450.0,397.7235,,0,,
0,72,1.0031793,,2388.0,407.17197,,0,,
0,73,0.8320111,,2347.0,420.04285,,0,,
0,74,0.7213152,,2325.0,436.03326,,0,,
0,75,0.7979385,,2298.0,454.81424,,0,,
0,76,0.82955444,,2266.0,476.05566,,0,,
0,77,0.64144224,,2229.0,499.4437,,0,,
0,78,0.34464732,,2209.0,524.69135,,0,,
0,79,0.26070595,,2201.0,551.5433,,0,,
0,80,0.3289683,,2192.0,579.7767,,0,,
0,81,0.3430198,,2186.0,609.19946,,0,,
0,82,0.30237147,,2182.0,639.6476,,0,,
0,83,0.3006849,,2182.0,670.9814,,0,,
0,84,0.3296143,,2185.0,703.0825,,0,,
0,85,0.36057773,,2188.0,735.8505,,0,,
0,86,0.4061091,,2194.0,769.20026,,0,,
0,87,0.42163476,,2203.0,803.05914,,0,,
0,88,0.36735994,,2212.0,837.36554,,0,,
0,89,0.33911273,,2218.0,872.0665,,0,,
0,90,0.31749856,,2221.0,865.94055,,0,,
0,91,0.32263654,,2227.0,861.53815,,0,,
0,92,0.37954113,,2235.0,858.8859,,0,,
0,93,0.43663296,,2249.0,858.0,,0,,
0,94,0.4496337,,2264.0,858.0,,0,,
0,95,0.42587358,,2278.0,858.8859,,0,,
0,96,0.42163476,,2288.0,861.53815,,0,,
0,97,0.4405107,,2296.0,865.94055,,0,,
0,98,0.4636476,,2302.0,872.0665,,0,,
0,99,0.52274346,,2311.0,879.8801,,0,,
0,100,0.59814674,,2326.0,889.33685,,0,,
0,101,0.67337453,,2346.0,900.3849,,0,,
0,102,0.7655707,,2370.0,912.9666,,0,,
0,103,0.80193007,,2398.0,927.0194,,0,,
0,104,0.8197178,,2426.0,942.4776,,0,,
0,105,0.7738357,,2454.0,959.27313,,0,,
0,106,0.74546754,,2473.0,977.3372,,0,,
0,107,0.77344817,,2487.0,996.6007,,0,,
0,108,0.79252744,,2503.0,1012.4989,,0,,
0,109,0.8013143,,2515.0,1023.70355,,0,,
0,110,0.8197178,,2523.0,1036.2557,,0,,
0,111,0.7846162,,2531.0,1050.1072,,0,,
0,112,0.70585513,,2540.0,1065.207,,0,,
0,113,0.66912395,,2549.0,1081.5032,,0,,
0,114,0.6763797,,2561.0,1098.9423,,0,,
0,115,0.6776222,,2577.0,1116.79,,0,,
0,116,0.6986099,,2593.0,1133.6865,,0,,
0,117,0.6856838,,2611.0,1151.6562,,0,,
0,118,0.636812,,2627.0,1170.6498,,0,,
0,119,0.636812,,2643.0,1190.6183,,0,,
1,0,0.17080179,,2827.0,1332.8646,,0,,
1,1,0.18998829,,2832.0,1319.6761,,0,,
1,2,0.25839308,,2839.0,1307.5183,,0,,
1,3,0.2844262,,2851.0,1296.42,,0,,
1,4,0.24020648,,2861.0,1273.3365,,0,,
