j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.788153,,2751.0,593.579,,0,,
0,1,0.7855712,,2753.0,579.11053,,0,,
0,2,0.81243396,,2752.0,564.9106,,0,,
0,3,0.8165872,,2750.0,551.0,,0,,
0,4,0.84037936,,2746.0,537.4012,,0,,
0,5,0.8376021,,2744.0,524.13837,,0,,
0,6,0.8135176,,2742.0,511.2377,,0,,
0,7,0.7869515,,2740.0,498.7274,,0,,
0,8,0.7855712,,2739.0,484.40686,,0,,
0,9,0.73331624,,2741.0,470.4179,,0,,
0,10,0.70841706,,2743.0,456.791,,0,,
0,11,0.64956576,,2747.0,443.55948,,0,,
0,12,0.64956576,,2750.0,430.7598,,0,,
0,13,0.6212957,,2754.0,418.4316,,0,,
0,14,0.57708955,,2758.0,406.61777,,0,,
0,15,0.60313576,,2760.0,395.36438,,0,,
0,16,0.6000502,,2761.0,384.72067,,0,,
0,17,0.6693681,,2760.0,374.7386,,0,,
0,18,0.6998929,,2759.0,365.4723,,0,,
0,19,0.6685595,,2760.0,353.42044,,0,,
0,20,0.6693681,,2760.0,338.28537,,0,,
0,21,0.64253914,,2762.0,323.55835,,0,,
0,22,0.6586666,,2765.0,309.29758,,0,,
0,23,0.68224835,,2771.0,295.57065,,0,,
0,24,0.68909425,,2778.0,282.4553,,0,,
0,25,0.6757525,,2785.0,268.7006,,0,,
0,26,0.6266806,,2790.0,255.61885,,0,,
0,27,0.5934243,,2794.0,243.31873,,0,,
0,28,0.5664346,,2799.0,231.92456,,0,,
0,29,0.58300495,,2804.0,221.57617,,0,,
0,30,0.6014257,,2811.0,212.42645,,0,,
0,31,0.6112037,,2818.0,204.63626,,0,,
0,32,0.6682894,,2826.0,198.36583,,0,,
0,33,0.6982035,,2836.0,193.76274,,0,,
0,34,0.68809086,,2847.0,190.94763,,0,,
0,35,0.6014257,,2856.0,190.0,,0,,
0,36,0.49658406,,2861.0,190.0,,0,,
0,37,0.3213347,,2866.0,190.0,,0,,
0,38,0.31850934,,2865.0,190.0,,0,,
0,39,0.6883421,,2855.0,190.0,,0,,
0,40,0.8913297,,2834.0,190.94763,,0,,
0,41,0.9127751,,2808.0,193.76274,,0,,
0,42,0.8086816,,2785.0,198.36583,,0,,
0,43,0.70865,,2769.0,204.63626,,0,,
0,44,0.69034326,,2754.0,212.42645,,0,,
0,45,0.6749625,,2742.0,221.57617,,0,,
0,46,0.59307134,,2733.0,231.92456,,0,,
0,47,0.5504935,,2726.0,243.31873,,0,,
0,48,0.48704237,,2721.0,255.61885,,0,,
0,49,0.42259145,,2717.0,268.7006,,0,,
0,50,0.4013025,,2715.0,282.4553,,0,,
0,51,0.3529904,,2715.0,295.57065,,0,,
0,52,0.3538166,,2715.0,309.29758,,0,,
0,53,0.40473852,,2716.0,323.55835,,0,,
0,54,0.492605,,2718.0,336.14432,,0,,
0,55,0.57708955,,2720.0,348.79364,,0,,
0,56,0.58736265,,2724.0,358.49127,,0,,
0,57,0.663932,,2728.0,368.91327,,0,,
0,58,0.6757525,,2734.0,380.0,,0,,
1,0,0.80099946,,2770.0,581.59863,,0,,
1,1,0.7990408,,2772.0,566.82446,,0,,
1,2,0.811657,,2772.0,552.3088,,0,,
1,3,0.8270336,,2770.0,538.0725,,0,,
1,4,0.850379,,2767.0,524.13837,,0,,
1,5,0.8388559,,2765.0,510.5311,,0,,
1,6,0.84037936,,2762.0,497.2776,,0,,
1,7,0.8135176,,2759.0,484.40686,,0,,
1,8,0.7985487,,2758.0,471.9502,,0,,
1,9,0.75857025,,2758.0,457.5806,,0,,
1,10,0.73182696,,2759.0,443.55948,,0,,
1,11,0.6749625,,2761.0,429.92093,,0,,
1,12,0.6457817,,2764.0,416.70255,,0,,
1,13,0.6291795,,2767.0,403.94553,,0,,
1,14,0.61219615,,2770.0,391.69504,,0,,
1,15,0.6055126,,2773.0,380.0,,0,,
1,16,0.6190481,,2774.0,368.91327,,0,,
1,17,0.6685595,,2775.0,358.49127,,0,,
1,18,0.7150917,,2775.0,348.79364,,0,,
1,19,0.6998929,,2775.0,339.88232,,0,,
1,20,0.6845495,,2775.0,326.88837,,0,,
1,21,0.6564193,,2776.0,311.62317,,0,,
1,22,0.67417026,,2779.0,296.7895,,0,,
1,23,0.6965035,,2785.0,282.4553,,0,,
1,24,0.7166781,,2792.0,268.7006,,0,,
1,25,0.6845495,,2799.0,255.61885,,0,,
1,26,0.64956576,,2803.0,241.83052,,0,,
1,27,0.6164574,,2806.0,228.7903,,0,,
1,28,0.5763415,,2810.0,216.63333,,0,,
1,29,0.5990142,,2815.0,205.51642,,0,,
1,30,0.6164574,,2822.0,195.61697,,0,,
1,31,0.6492765,,2829.0,187.1283,,0,,
1,32,0.6781088,,2838.0,180.24983,,0,,
1,33,0.6982035,,2848.0,175.17134,,0,,
1,34,0.6781088,,2859.0,172.05232,,0,,
1,35,0.5577764,,2867.0,171.0,,0,,
1,36,0.45692077,,2870.0,171.0,,0,,
1,37,0.28614515,,2872.0,171.0,,0,,
1,38,0.39429894,,2868.0,171.0,,0,,
1,39,0.71599936,,2857.0,171.0,,0,,
1,40,0.8913297,,2835.0,172.05232,,0,,
1,41,0.88219863,,2810.0,175.17134,,0,,
1,42,0.77041733,,2789.0,180.24983,,0,,
1,43,0.6544377,,2774.0,187.1283,,0,,
1,44,0.6291795,,2762.0,195.61697,,0,,
1,45,0.65301365,,2753.0,205.51642,,0,,
1,46,0.64519495,,2743.0,216.63333,,0,,
1,47,0.5763415,,2736.0,228.7903,,0,,
1,48,0.5238985,,2730.0,241.83052,,0,,
1,49,0.4702197,,2725.0,255.61885,,0,,
1,50,0.42640826,,2723.0,268.7006,,0,,
1,51,0.39922008,,2722.0,282.4553,,0,,
1,52,0.4013025,,2722.0,296.7895,,0,,
1,53,0.46309307,,2724.0,309.29758,,0,,
1,54,0.53405255,,2728.0,322.4407,,0,,
1,55,0.58736265,,2732.0,332.36426,,0,,
1,56,0.63257957,,2736.0,342.52737,,0,,
1,57,0.6757525,,2742.0,353.42044,,0,,
1,58,0.6903433,,2748.0,364.9781,,0,,
2,0,0.80099946,,2790.0,570.0,,0,,
2,1,0.811657,,2792.0,554.9171,,0,,
2,2,0.8235029,,2792.0,540.0815,,0,,
2,3,0.8366223,,2791.0,525.51404,,0,,
2,4,0.850379,,2789.0,511.2377,,0,,
2,5,0.850379,,2786.0,497.2776,,0,,
2,6,0.8518295,,2784.0,483.66104,,0,,
2,7,0.84037936,,2780.0,470.4179,,0,,
2,8,0.81243396,,2778.0,457.5806,,0,,
2,9,0.7855712,,2777.0,445.18423,,0,,
2,10,0.7443254,,2777.0,430.7598,,0,,
2,11,0.7001333,,2777.0,416.70255,,0,,
